Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Jenna Jameson	Jenna Jameson	female	Las Vegas	Nevada	USA	libertarian			starring in pornographic movies	Lamborghini Murcielago	vibrator set to stun	birthday suit	Pornography, Porn movies	pornography, movies				The Masseuse, Jenna Loves Rocco 			Actress, Porn Star, Pornographer	tacky, tasteless, lewd, obscene	erotic, sexy, alluring, seductive
Jeremy Clarkson	Jeremy Clarkson	male	Chipping Norton	Cotswolds	UK	right	married	Piers Morgan	hosting automotive shows, test-driving cars, insulting minorities	Ford Escort RS Cosworth,  Škoda Yeti, Volkswagen Scirocco, Mercedes-Benz 600	xenophobic jokes	tweeds	the Right, Cars	television				Top Gear	Top Gear	Top Gear	Writer, TV Host, TV Presenter	crass, boorish, reactionary, unsubtle, scornful, insensitive, glib, unsympathetic, derogatory	entertaining, humorous, forthright, deadpan
Piers Morgan	Piers Morgan	male	Manhattan	New York City	USA	left	married	Jeremy Clarkson	interviewing celebrities, interviewing politicians	BMW M3 Roadster	rolled-up newspaper	pink tie	Chat Shows, the News	television				Piers Morgan Live	CNN		Pundit, TV Host, Interviewer	cocky, grating, rude, self-regarding, self-promoting, narcissistic	direct, frank, ambitious, media-savvy
Jerry Lee Lewis	Jerry Lee-Lewis	male	Ferriday	Louisiana	USA	libertarian	married	Elvis Presley	singing rock songs, playing rock piano, marrying underage girls		great balls of fire		Rock music	music		Dennis Quaid		High School Confidential, Whole Lotta Shakin' Goin' On			Rock Singer, Singer, Musician, Pianist	turbulent, scandalous	entertaining, pioneering, energetic, electrifying
Jerry Lewis	Jerry Lewis	male	Newark	New Jersey	USA	left			doing slapstick comedy, starring in comedies, doing stand-up		zany antics		Comedy, Movies, Hollywood	comedy, movies				The Nutty Professor	Lewis and Martin		Actor, Comedian	goofy, silly, absurd, 	madcap, hilarious, entertaining, funny, humorous, zany, quick-witted
Jerry Seinfeld	Jerry Seinfeld	male	Brooklyn	New York City	USA		married	Newman	doing stand-up, starring in sit-coms	1973 Porsche 911 RSR	observational comedy		The Seinfeld Chronicles, Comedy	comedy, television		Jerry Seinfeld		The Seinfeld Chronicles		Seinfeld	Comedian, Actor	inconsequential, shallow, trivial,	observant, witty, funny, humorous, engaging, wealthy, successful
Jerry Springer	Jerry Springer	male	Highgate	London	UK	left, libertarian	married	Jerry Springer, Ricki Lake	hosting reality TV shows	BMW M3 Roadster	chair over the head		Reality TV, Afternoon TV	television, culture				The Jerry Springer Show		Jerry Springer: The Opera	Presenter, TV Host, Interviewer	tacky, tasteless, trashy, sensationalist	entertaining, provocative, 
Jesse Jackson	Jesse Jackson	male	Greenville	South Carolina	USA	left	married	 Al Sharpton	suing large corporations, promoting racial harmony	black Escalade	race card		the Left, the Democrats, American politics	politics				Rainbow PUSH Coalition	The Democratic Party		Politician, Campaigner	preachy, extortionate	liberal, progressive, influential, populist
Jim Jones	Jim Jones	male	Jonestown	Guyana	South America	right	single		running a religious cult, organizing mass suicides 		poisoned Kool-Ade		Christian Fundamentalism	religion		Powers Boothe		The Jonestown Massacre, The Peoples Temple	Peoples Temple		Cult Leader, Preacher	deranged, hypocritical, abusive, twisted, delusional, psychotic, manipulative	charismatic, energetic, seductive, beguiling
Jim Morrison	Jim Morrison	male	Fictional Place	Paris	France	left, libertarian	dating Pamela Courson		singing rock songs, writing rock songs	1967 Shelby GT500	Riders on the Storm	hippy shirt, flouncy tunic, flares	Rock music	music, singing		Val Kilmer		The Doors	The Doors		Musician, Singer, Rock Singer	drug-addled, alcoholic, hedonistic, narcissistic	iconic, influential, improvisational, charismatic, handsome, psychedelic, poetic
Jimi Hendrix	Jimi Hendrix	male	Seattle	Washington State	USA	left, libertarian	single		singing rock songs, writing rock songs, playing rock guitar	1969 Corvette Stingray	atomic guitar	hippy shirt, flouncy tunic, flares	Rock music, Guitar music	music, singing		Andre 3000		The Jimi Hendrix Experience	The Jimi Hendrix Experience		Musician, Singer, Guitarist, Rock Singer	drug-addled, alcoholic, violent	talented, compelling, entertaining, electrifying, pioneering
Jimmy Cagney	Jimmy Cagney	male	Stanfordville	New York	USA		married	Humphrey Bogart	starring in Hollywood movies, playing tough guys	1934 V12 Auburn	machine gun, mobster's gat	sharp suit	Hollywood, Acting, Comedy	movies							Actor	stubborn, obstinate, 	tough, hard-boiled, charismatic, witty, energetic, deadpan, versatile
Jimmy Carter	Jimmy Carter	male	Plains	Georgia	USA	left	married	Ronald Reagan	building houses for poor people, promoting world peace, campaigning for world peace	armored towncar	peanut shooter	staid suit	the Left, the Democrats, American politics	politics, history					The Democratic Party		President, Political Leader	weak, ineffectual, incompetent	progressive, liberal, sympathetic, diplomatic
Jimmy Stewart	Jimmy Stewart	male	Beverly Hills, Hollywood	California	USA	moderate	married		starring in Hollywood movies, playing everyman characters	1936 DeSoto Airstream	giant invisible rabbit	flannel suit	Hollywood, Acting	movies							Actor	drawling, hokey, sappy	affable, down-to-earth,natural,  soft-spoken
Joan Rivers	Joan Rivers	female	Manhattan	New York City	USA	libertarian	married	Chelsea Handler	insulting celebrities, doing stand-up		caustic put-downs	fur stole	Comedy	comedy, television							Comedian, TV Host	bitchy, tart, wrinkly, sarcastic, hurtful	funny, witty, quick-witted, incisive, entertaining
Joaquin Phoenix	Joaquin Phoenix	male	Río Piedras	Puerto Rico	USA				starring in action movies, starring in indy movies		gladiator short sword		Hollywood, Acting, Serious Acting	movies							Actor	hare-lipped, po-faced	intense, convincing, compelling
Joe Biden	Joe Biden	male	Claymont	Delaware	USA	left	widowed	Sarah Palin	plagiarizing political speeches	armored towncar	soporific voice	staid suit	the Left, the Democrats, American politics	politics					The Democratic Party		Politician, Vice President	gaffe-prone, plagiaristic, unoriginal, off-putting, offensive	unscripted, unflitered
Joe Louis	Joe Louis	male	La Fayette	Alabama	USA			Max Schmeling	winning heavyweight titles, knocking out opponents, winning boxing matches		roundhouse punch, right cross	boxing shorts	Boxing	sport							Boxer	naïve, financially-ignorant	hard-punching, powerful, honest, hardworking
Johann Sebastian Bach	Johann-Sebastian Bach	male		Leipzig, Eisenach	Germany	right	married		composing classical music, playing the organ	horse-drawn carriage	piano-wire garrote	powdered wig	Classical music, Baroque music, Religious music	music, religion				The Well-Tempered Clavier, Toccata and Fugue in D minor			Musician, Composer	pious, meretricious	esteemed, dedicated, melodic, tuneful, devout, inventive, virtuosic
John Belushi	John Belushi	male	Humboldt Park, Chicago	Illinois	USA	libertarian	single	Dean Vernon Wormer	starring in madcap comedies, 	stolen police car	vulgar jokes, 		Comedy, Movies, Hollywood	comedy, television					Saturday Night Live		Actor, Comedian	drug-addled, alcoholic, reckless, fat, slobbish, sweaty, dirty, vulgar, tasteless, disgusting	funny, entertaining, energetic, hilarious, brash,
John Dillinger	John Dillinger	male	Indianapolis	Indiana	USA	libertarian	single	Melvin Purvis, J. Edgar Hoover	robbing banks, eluding the FBI	1933 Essex Terraplane	machine gun	sharp suit	the American Depression, Bank robbing	crime		Johnny Depp		The Terror Gang	The Terror Gang	Public Enemies	Bank Robber, Criminal, Fugitive	violent, brutal, thieving, murderous	handsome, charming, cunning, daring, elusive
J. Edgar Hoover	J.-Edgar Hoover	male		Washington D.C.	USA	right	dating Clyde Tolson	John Dillinger, Martin Luther King, Robert F. Kennedy	running the FBI, ordering wire-taps, cross-dressing in women's clothes	1971 Cadillac limousine	.22 caliber Colt	sharp white suit, woman's frock	the Law, the FBI	crime		Leonardo DiCaprio		The FBI	The FBI	Public Enemies, J. Edgar	FBI Agent, Administrator, Bureaucrat, Lawman, Transvestite	cross-dressing, secretive, two-faced, hypocritical, overbearing, domineering, corrupt, glory-seeking, grandiose	determined, persistent, visionary, diligent, opportunistic
John Grisham	John Grisham	male	Jonesboro	Arkansas	USA	right		Dan Brown	writing legal fiction		numbing prose		Legal fiction, Legal drama, Courtroom dramas	literature, law				The Firm, The Rainmaker, Runaway Jury			Writer, Novelist	predictable, hackneyed, repetitive	entertaining, engrossing, accomplished, prolific, widely-read, popular,bestselling
John Keats	John Keats	male	Moorgate	London	UK	left	single	Lord Byron	writing romantic poetry	horse-drawn carriage	consumptive cough	flouncy tunic	Romantic poetry	poetry, literature				Ode on a Grecian Urn, Ode to a Nightingale	The Romantics		Poet	hyper-sensitive, pretentious, affectation-laden	poetic, lyrical, sensual, romantic, sensitive, imaginative
John Lennon	John Lennon	male		Liverpool	UK	left	married to Yoko Ono	Mark David Chapman	writing pop songs, singing pop songs, campaigning for world peace	gold-plated Rolls Royce, Yellow Submarine	Liverpudlian wit	mop top	The Beatles, Pop music	music, singing		Ian Hart		The Beatles, Imagine	The Beatles		Rock Singer, Singer, Composer, Campaigner	acerbic, sarcastic, opinionated, arrogant	witty, lyrical, tuneful, inspiring, brilliant, intelligent, irreverent
John Maynard Keynes	John-Maynard Keynes	male		Cambridge	UK	moderate	married	Milton Friedman	promoting monetarism, studying economics		monetarism	business suit	Keynesian economics, Monetarist economics	economics				Keynesian Economics, Keynesianism	The Bloomsbury Set		Economist, Intellectual		brilliant, philosophical, clever, insightful, pioneering, liberal, charming, courteous, prescient
John McCain	John McCain	male	Phoenix	Arizona	USA	left	married	Barack Obama	running for the senate, campaigning for the presidency, making maverick choices	Jeep Wrangler, Cadillac CTS	maverick attitude, rogue elephant	staid suit	the Right, the Republicans, American politics	politics					The Republican Party		Politician	quick-tempered, hot-tempered, unfiltered, contradictory, curmudgeonly, churlish, contrarian, impatient, prickly, intemperate, erratic, hotheaded	straightforward, straight-talking, feisty, passionate
John McEnroe	John McEnroe	male	Manhattan	New York City	USA	libertarian	divorced from Tatum O'Neil	Björn Borg, Jimmy Connors	whining at umpires, delivering forehand slams, winning tennis tournaments	SEAT Altea	killer backhand	tennis whites	Tennis	sport							Tennis player, Sportsman, Athlete	confrontational, disrespectful, aggressive, abusive, childish, tantrum-throwing, bratty, rude, hot-headed	virtuosic, athletic, competitive, skillful, fiery, fiesty, dynamic, talented, passionate, entertaining
John Travolta	John Travolta	male	Clearwater	Florida	USA		married		dancing to disco music, playing camp villains, starring in Hollywood movies	970 Mercedes-Benz 280SL	disco medallion garrote, exploding disco ball, razor-edged flares, Scientology mind-tricks, 	white suit, flares	Hollywood, Acting, Dancing, Scientology	movies					Scientology		Actor, Pilot, Dancer	camp, meat-headed, over-the-top	graceful, limber, elegant, nimble, stylish
John Wayne	John Wayne	male	Beverly Hills, Hollywood	California	USA	right	married	Roy Rogers	starring in cowboy movies, starring in war movies, walking like a man	horse	six shooter	cowboy hat, leather chaps, cowboy boots	Hollywood, Acting, Westerns, War movies	movies							Actor	drawling, reactionary, arch-conservative, gruff	tough, patriotic, gruff, iconic, rugged, masculine, calm-voiced, enduring
Johnny Cash	Johnny Cash	male	Nashville	Tennessee	USA	left	married to June Carter		singing country music	1954 Plymouth Savoy, 1954 Plymouth Contest	ring of fire	black shirt, black jeans, black hat	Country music	music		Joaquin Phoenix		I Walk The Line, Folsom Prison Blues		Walk The Line	Singer, Country Singer, Musician, Composer	sombre, sorrowful, morose	genre-spanning, versatile, melodic, tuneful, deep-voiced, humble, rebellious
Jon Stewart	Jon Stewart	male	Manhattan	New York City	USA	left	married	Stephen Colbert, Bill O'Reilly, Sean Hannity	hosting a late night chat show	Prius, Tesla Roadster	cutting wit	sharp suit	Comedy Central, Comedy, Late-night TV, the News	comedy, television				The Daily Show		The Daily Show	Comedian, TV Host	acerbic, sarcastic, opinionated, polemical	funny, witty, quick-witted, incisive, entertaining
Jonathan Swift	Jonathan Swift	male	Westland Row	Dublin	Ireland	moderate		Daniel Defoe	writing political satires	horse-drawn carriage	Lilliputian commando squad	powdered wig	Satire, the Irish Famine	literature				Gulliver's Travels			Writer, Novelist, Campaigner, Professor	polemical, preachy, misanthropic	satirical, witty, inventive, humorous, sardonic
Joseph Goebbels	Joseph Goebbels	male		Berlin	Germany	right	married	Winston Churchill	running a propaganda machine, promoting totalitarianism	BMW 328	Nazi propaganda	Nazi uniform	the Nazi Party, National Socialism, the Third Reich	politics, history, culture		Harvey Friedman		Der Angriff	The Nazi Party		Politician, Propagandist	virulent, antisemitic, hateful, genocidal, lying, twisted, propagandizing	zealous, energetic, devoted
Joseph Stalin	Joseph Stalin	male		Moscow	Russia	left	married	Harry S. Truman, Leon Trotsky	running a communist country, eliminating political rivals,	1936 Packard 8 Phaeton	hammer and sickle, KGB goon squad	 Marshal's uniform	the Soviet Union, the Cold War	politics, history, culture		Robert Duvall		Stalinism	The U.S.S.R., The Communist Party		Tyrant, Politician, Political Leader	stern, ruthless, cynical, brutal, vindictive, oppressive, murderous, inhumane	wily, tough, cunning, powerful, resolute
Judas Iscariot	Judas Iscariot	male		Jerusalem	Israel		single	Jesus Christ	betraying friends, stabbing in the back, selling out	donkey	knife in the back	toga	the New Testament, the Bible, the 12 Apostles, Betrayal	religion		Harvey Keitel			The 12 Apostles	The New Testament	Traitor, Apostle	traitorous, disloyal, sneaky, two-faced, money-grubbing, disillusioned, treacherous	cunning, crafty, shrewd
Judge Judy Sheindlin	Judy Sheindlin	female	Naples	Florida	USA	right	married	Oprah Winfrey	judging legal cases, rooting out facts, delivering judgments	Lexus wagon	selfrighteous preaching	black gown	Reality TV, Afternoon TV	law, television				The Judge Judy Show		The Judge Judy Show	Judge, TV Host	opinionated, rude, aggressive, gruff, strident	no-nonsense, straight-talking, incisive, resolute, 
Julia Child	Julia Child	female	Montecito	California	USA		married	Madeleine Kamman	cooking dinners, writing cook books	Honda station wagon	high-fat diet	apron	Cooking, the Kitchen	television, cooking		Meryl Streep		Mastering the Art of French Cooking			Chef, TV Host	mannish, high-pitched, awkward	pragmatic, sophisticated, loveable, endearing
Julia Roberts	Julia Roberts	female	Smyrna	Georgia	USA	left	married	Eric Roberts	starring in Hollywood movies, 	Mercedes Benz GL	kitchen cleaver	thigh-high boots	Hollywood, Acting	movies							Actress	annoying, arrogant	pretty, attractive, beautiful, vivacious, voluptuous
